Line,RefDes,Type,Qty Kit,,Description,Manufacturer,Manufacturer Part No,,,,,,,,,,,,,,,,
1,"BT1, ",CONN,1,1,"Through hole, CR2032 battery holder",PengPeng Components Store,,,,,,,,,,,,,,,,,
2,"D1, D2, D3, D4, ",LED,5,4,"LED, 3mm, RED, through hole",KY WIN ROBOT,,,,,,,,,,,,,,,,,
3,"D5, D6, D7, ",LED,4,3,"LED, 3mm, YELLOW, through hole",KY WIN ROBOT,,,,,,,,,,,,,,,,,
4,"D8, D9, ",LED,3,2,"LED, 3mm, GREEN, through hole",KY WIN ROBOT,,,,,,,,,,,,,,,,,
5,"D10, D11, ",LED,3,2,"Blue LED, Flash, 3mm, Clear, THRU",Mosleader,,,,,,,,,,,,,,,,,
6,"R1, ",RES,1,1,"through hole resistor, 499 ohm",Stackpole Electronics Inc,RNF14FTD499R,,,,,,,,,,,,,,,,
7,"R2, ",RES,1,1,"through hole resistor, 220 ohm",Stackpole Electronics Inc,CF14JT220R,,,,,,,,,,,,,,,,
8,"R3, ",RES,1,1,"through hole resistor, 680 ohm",Yageo,CFR-25JB-52-680R,,,,,,,,,,,,,,,,
9,"R4, ",RES,1,1,"through hole resistor, 100 ohm",Stackpole Electronics Inc,RNF14FTD100R,,,,,,,,,,,,,,,,
10,"SW1, ",SWITCH,1,1,"Right angle slide switch, SPDT, through hole",xin cheng electronic,SK12D07VG3,,,,,,,,,,,,,,,,
11,,PCB,1,,Radiant Rainbow PCB,,,,,,,,,,,,,,,,,,
12,,BATT,2,0,CR2016 batteries,WANZELONYO,CR2016,,,,,,,,,,,,,,,,
13,,HARDWARE,1,0,Adhesive-backed pin,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,, ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
